statisYy,jmCd,jmNm,grdCd,grdNm,mdobligFldCd,mdobligFldNm,mjrYnCcd,accumAcquCnt,yy1AcquCnt,yy2AcquCnt,yy3AcquCnt,yy4AcquCnt,yy5AcquCnt,yy6AcquCnt
2025,11,용접기술사,10,기술사,174,용접,N,415,356,11,11,6,13,18
2025,12,금형기술사,10,기술사,167,금형.공작기계,N,470,320,33,10,27,39,41
2025,50,차량기술사,10,기술사,166,자동차,N,333,287,14,4,10,12,6
2025,60,산업기계설비기술사,10,기술사,162,기계장비설비.설치,N,779,743,7,8,3,9,9
2025,71,공조냉동기계기술사,10,기술사,162,기계장비설비.설치,N,1126,1006,25,34,15,12,34
2025,80,건설기계기술사,10,기술사,162,기계장비설비.설치,N,901,801,13,31,18,20,18
2025,94,금속제련기술사,10,기술사,171,금속.재료,N,166,156,2,2,3,2,1
2025,110,금속재료기술사,10,기술사,171,금속.재료,N,403,337,9,12,18,17,10
2025,120,표면처리기술사,10,기술사,175,도장.도금,N,95,87,3,0,2,2,1
2025,130,금속가공기술사,10,기술사,171,금속.재료,N,141,113,6,6,7,7,2
2025,210,화공기술사,10,기술사,181,화공,N,634,590,15,9,8,5,7
2025,230,발송배전기술사,10,기술사,201,전기,N,951,817,60,23,12,20,19
2025,250,전기응용기술사,10,기술사,201,전기,N,321,270,14,10,10,6,11
2025,261,철도신호기술사,10,기술사,201,전기,N,176,135,11,8,6,6,10
2025,270,산업계측제어기술사,10,기술사,202,전자,N,200,170,10,4,6,4,6
2025,301,전자응용기술사,10,기술사,202,전자,N,57,44,4,2,2,2,3
2025,320,조선기술사,10,기술사,164,조선,N,350,314,13,8,4,3,8
2025,360,항공기체기술사,10,기술사,165,항공,N,93,84,1,2,1,3,2
2025,370,항공기관기술사,10,기술사,165,항공,N,115,98,6,4,4,1,2
2025,390,토질및기초기술사,10,기술사,142,토목,N,1855,1566,61,48,39,62,79
2025,400,토목구조기술사,10,기술사,142,토목,N,1621,1467,56,21,23,30,24
2025,410,항만및해안기술사,10,기술사,142,토목,N,280,259,4,2,7,6,2
2025,420,도로및공항기술사,10,기술사,142,토목,N,1476,1325,40,30,31,35,15
2025,430,철도기술사,10,기술사,142,토목,N,546,435,26,18,24,26,17
2025,431,철도차량기술사,10,기술사,163,철도,N,161,113,5,6,14,7,16
2025,432,전기철도기술사,10,기술사,201,전기,N,201,173,3,8,5,6,6
2025,451,수자원개발기술사,10,기술사,142,토목,N,647,520,28,31,17,28,23
2025,460,상하수도기술사,10,기술사,142,토목,N,1100,893,50,51,42,36,28
2025,470,농어업토목기술사,10,기술사,142,토목,N,438,387,16,10,5,7,13
2025,480,토목시공기술사,10,기술사,142,토목,N,11497,10209,245,253,207,321,262
2025,481,토목품질시험기술사,10,기술사,142,토목,N,580,490,16,24,17,17,16
2025,490,건축구조기술사,10,기술사,141,건축,N,1385,1156,48,69,29,39,44
2025,500,건축기술사(건축설비),10,기술사,141,건축,N,2,2,0,0,0,0,0
2025,501,건축기계설비기술사,10,기술사,141,건축,N,1497,1364,31,25,20,24,33
2025,502,건축전기설비기술사,10,기술사,201,전기,N,1133,982,31,24,26,36,34
2025,510,건축시공기술사,10,기술사,141,건축,N,10836,10082,157,148,110,136,203
2025,511,건축품질시험기술사,10,기술사,141,건축,N,267,244,4,4,4,9,2
2025,551,섬유기술사,10,기술사,191,섬유,N,188,168,7,3,5,4,1
2025,560,생사기술사,10,기술사,191,섬유,N,11,11,0,0,0,0,0
2025,561,의류기술사,10,기술사,191,섬유,N,42,35,0,2,1,1,3
2025,570,자원관리기술사,10,기술사,151,채광,N,110,110,0,0,0,0,0
2025,575,광해방지기술사,10,기술사,152,광해방지,N,46,46,0,0,0,0,0
2025,591,화약류관리기술사,10,기술사,151,채광,N,157,150,1,2,2,2,0
2025,601,정보관리기술사,10,기술사,211,정보기술,N,1505,1191,108,60,49,56,41
2025,621,정보통신기술사,10,기술사,213,통신,N,508,508,0,0,0,0,0
2025,622,컴퓨터시스템응용기술사,10,기술사,211,정보기술,N,776,741,9,10,4,5,7
2025,630,에너지기술사(원자력),10,기술사,262,에너지.기상,N,5,5,0,0,0,0,0
2025,640,에너지기술사(방사선가공),10,기술사,262,에너지.기상,N,6,6,0,0,0,0,0
2025,650,도시계획기술사,10,기술사,144,도시.교통,N,585,496,39,10,8,16,16
2025,660,"대기관리,수질관리,소음진동기술사",10,기술사,261,환경,N,1,1,0,0,0,0,0
2025,670,조경기술사,10,기술사,143,조경,N,530,438,15,18,25,22,12
2025,680,측량및지형공간정보기술사,10,기술사,142,토목,N,538,497,9,7,7,9,9
2025,690,지적기술사,10,기술사,142,토목,N,304,256,7,10,7,15,9
2025,700,해양기술사,10,기술사,142,토목,N,141,111,7,4,7,6,6
2025,701,수산양식기술사,10,기술사,244,어업,N,90,80,3,1,1,3,2
2025,702,어업기술사,10,기술사,244,어업,N,50,37,4,1,2,2,4
2025,710,기계안전기술사,10,기술사,251,안전관리,N,430,283,30,27,38,27,25
2025,710,기계안전기술사,10,기술사,251,안전관리,Y,1,1,0,0,0,0,0
2025,720,화공안전기술사,10,기술사,251,안전관리,N,279,198,26,11,9,18,17
2025,730,전기안전기술사,10,기술사,251,안전관리,N,548,474,22,16,5,13,18
2025,740,건설안전기술사,10,기술사,251,안전관리,N,2404,1934,57,116,100,98,99
2025,740,건설안전기술사,10,기술사,251,안전관리,Y,2,1,1,0,0,0,0
2025,750,소방기술사,10,기술사,251,안전관리,N,1205,1058,48,25,23,34,17
2025,750,소방기술사,10,기술사,251,안전관리,Y,2,2,0,0,0,0,0
2025,751,산업위생관리기술사,10,기술사,251,안전관리,N,408,363,11,9,8,9,8
2025,751,산업위생관리기술사,10,기술사,251,안전관리,Y,27,19,2,0,1,4,1
2025,752,가스기술사,10,기술사,251,안전관리,N,413,379,5,4,5,6,14
2025,752,가스기술사,10,기술사,251,안전관리,Y,2,2,0,0,0,0,0
2025,760,공장관리기술사,10,기술사,24,생산관리,N,345,281,5,4,23,14,18
2025,770,품질관리기술사,10,기술사,24,생산관리,N,791,614,39,40,42,29,27
2025,780,포장기술사,10,기술사,24,생산관리,N,208,174,6,6,10,7,5
2025,790,세라믹기술사,10,기술사,171,금속.재료,N,66,56,5,1,2,0,2
2025,800,식품기술사,10,기술사,221,식품,N,1078,947,20,19,29,20,43
2025,801,산림기술사,10,기술사,243,임업,N,223,198,5,2,9,2,7
2025,802,비파괴검사기술사,10,기술사,252,비파괴검사,N,107,91,2,3,3,2,6
2025,810,수산제조기술사,10,기술사,221,식품,N,91,75,3,3,3,4,3
2025,825,지질및지반기술사,10,기술사,142,토목,N,857,777,14,15,14,17,20
2025,840,종자기술사,10,기술사,241,농업,N,196,178,4,4,5,3,2
2025,841,시설원예기술사,10,기술사,241,농업,N,141,120,7,6,3,3,2
2025,851,축산기술사,10,기술사,242,축산,N,196,181,4,3,3,1,4
2025,871,기계기술사(정밀측정),10,기술사,161,기계제작,N,10,10,0,0,0,0,0
2025,872,기계기술사,10,기술사,161,기계제작,N,351,316,9,4,14,3,5
2025,875,인간공학기술사,10,기술사,251,안전관리,N,203,127,17,11,13,16,19
2025,875,인간공학기술사,10,기술사,251,안전관리,Y,17,8,0,2,2,3,2
2025,880,원자력발전기술사,10,기술사,262,에너지.기상,N,437,437,0,0,0,0,0
2025,891,기상예보기술사,10,기술사,262,에너지.기상,N,74,53,3,4,1,5,8
2025,910,방사선관리기술사,10,기술사,262,에너지.기상,N,91,91,0,0,0,0,0
2025,920,대기관리기술사,10,기술사,261,환경,N,313,284,3,6,3,7,10
2025,930,수질관리기술사,10,기술사,261,환경,N,440,376,21,12,10,11,10
2025,938,자연환경관리기술사,10,기술사,261,환경,N,324,254,14,13,25,10,8
2025,940,소음진동기술사,10,기술사,261,환경,N,243,228,3,2,3,6,1
2025,948,토양환경기술사,10,기술사,261,환경,N,190,157,6,10,8,1,8
2025,950,농화학기술사,10,기술사,241,농업,N,143,131,3,1,2,3,3
2025,951,교통기술사,10,기술사,144,도시.교통,N,585,508,13,3,20,16,25
2025,960,제품디자인기술사,10,기술사,82,디자인,N,77,34,9,8,9,12,5
2025,970,폐기물처리기술사,10,기술사,261,환경,N,289,266,2,6,4,5,6
2025,3021,기계가공기능장,20,기능장,161,기계제작,N,5065,4281,114,148,193,164,165
2025,3061,금형기능장,20,기능장,167,금형.공작기계,N,508,387,10,24,34,33,20
2025,3070,기계제도기능장,20,기능장,161,기계제작,N,5,5,0,0,0,0,0
2025,3081,배관기능장,20,기능장,145,건설배관,N,10164,7442,578,466,536,611,531
2025,3095,판금제관기능장,20,기능장,172,판금.제관.새시,N,301,244,5,17,10,13,12
2025,3100,용접기능장,20,기능장,174,용접,N,10241,8987,325,251,247,216,215
2025,3110,자동차정비기능장,20,기능장,166,자동차,N,4429,3924,144,56,46,177,82
2025,3120,건설기계정비기능장,20,기능장,162,기계장비설비.설치,N,441,284,14,17,54,27,45
2025,3121,기계정비기능장,20,기능장,162,기계장비설비.설치,N,9,9,0,0,0,0,0
2025,3122,항공정비기능장,20,기능장,165,항공,N,3,3,0,0,0,0,0
2025,3150,철도차량정비기능장,20,기능장,163,철도,N,475,321,88,9,17,16,24
2025,3170,에너지관리기능장,20,기능장,262,에너지.기상,N,6438,3806,446,410,553,618,605
2025,3185,섬유기계기능장,20,기능장,191,섬유,N,8,8,0,0,0,0,0
2025,3200,주조기능장,20,기능장,173,단조.주조,N,1208,543,160,49,104,179,173
2025,3210,표면처리기능장,20,기능장,175,도장.도금,N,321,188,6,20,33,45,29
2025,3221,금속재료기능장,20,기능장,171,금속.재료,N,2249,1296,149,89,186,265,264
2025,3230,제선기능장,20,기능장,171,금속.재료,N,2736,914,414,400,427,300,281
2025,3240,제강기능장,20,기능장,171,금속.재료,N,3104,1550,392,240,435,270,217
2025,3260,목형기능장,20,기능장,141,건축,N,25,25,0,0,0,0,0
2025,3270,압연기능장,20,기능장,171,금속.재료,N,2719,1205,239,360,387,283,245
2025,3360,위험물기능장,20,기능장,182,위험물,N,22970,10813,1966,1739,3305,2450,2697
2025,3375,가스기능장,20,기능장,251,안전관리,N,6036,3849,411,558,330,381,507
2025,3375,가스기능장,20,기능장,251,안전관리,Y,36,21,3,9,0,1,2
2025,3380,전기기능장,20,기능장,201,전기,N,9126,7322,272,382,308,476,366
2025,3410,전자기능장,20,기능장,202,전자,N,2487,2186,22,46,51,71,111
2025,3611,건축목재시공기능장,20,기능장,141,건축,N,114,94,4,6,1,4,5
2025,3621,건축일반시공기능장,20,기능장,141,건축,N,101,83,3,1,7,1,6
2025,3643,한복기능장,20,기능장,192,의복,N,32,0,0,0,15,12,5
2025,3671,염색기능장,20,기능장,191,섬유,N,12,12,0,0,0,0,0
2025,3710,광산기계운전및수리기능장,20,기능장,151,채광,N,2,2,0,0,0,0,0
2025,3770,귀금속가공기능장,20,기능장,232,목재.가구.공예,N,122,110,1,3,2,6,0
2025,3861,산림기능장,20,기능장,243,임업,N,31,31,0,0,0,0,0
2025,3891,비파괴검사기능장,20,기능장,252,비파괴검사,N,9,9,0,0,0,0,0
2025,3911,잠수기능장,20,기능장,142,토목,N,19,8,1,3,4,2,1
2025,3920,통신설비기능장,20,기능장,213,통신,N,625,625,0,0,0,0,0
2025,3922,조리기능장,20,기능장,131,조리,N,1051,793,56,53,50,41,58
2025,3923,제과기능장,20,기능장,222,제과.제빵,N,1376,1143,37,35,61,37,63
2025,3924,미용장,20,기능장,121,이용.미용,N,1469,1255,55,45,52,39,23
2025,3925,이용장,20,기능장,121,이용.미용,N,754,644,30,29,15,22,14
2025,1021,일반기계기사,30,기사,161,기계제작,N,59921,44322,4910,3643,2985,2117,1944
2025,1022,용접기사,30,기사,174,용접,N,2015,1712,59,43,79,64,58
2025,1023,농업기계기사,30,기사,162,기계장비설비.설치,N,68,61,2,0,2,2,1
2025,1024,사출금형기사,30,기사,167,금형.공작기계,N,248,197,11,9,9,14,8
2025,1025,프레스금형기사,30,기사,167,금형.공작기계,N,179,143,6,7,6,11,6
2025,1026,윤활관리기사,30,기사,162,기계장비설비.설치,N,3,3,0,0,0,0,0
2025,1027,그린전동자동차기사,30,기사,166,자동차,N,96,62,0,1,2,24,7
2025,1028,온실가스관리기사,30,기사,261,환경,N,3508,1574,236,321,382,512,483
2025,1029,환경위해관리기사,30,기사,261,환경,N,341,88,55,76,34,75,13
2025,1030,철도차량기사,30,기사,163,철도,N,74,71,1,0,2,0,0
2025,1040,건설기계설비기사,30,기사,162,기계장비설비.설치,N,29323,24147,1602,1358,956,649,611
2025,1048,콘크리트기사,30,기사,142,토목,N,10708,7477,610,530,786,631,674
2025,1050,건설기계정비기사,30,기사,162,기계장비설비.설치,N,1757,1718,13,3,10,5,8
2025,1051,궤도장비정비기사,30,기사,162,기계장비설비.설치,N,67,49,0,8,7,1,2
2025,1060,메카트로닉스기사,30,기사,162,기계장비설비.설치,N,101,101,0,0,0,0,0
2025,1070,자동차정비기사,30,기사,166,자동차,N,13967,13438,89,130,77,133,100
2025,1091,정밀측정기사,30,기사,161,기계제작,N,95,95,0,0,0,0,0
2025,1092,정밀측정기사,30,기사,161,기계제작,N,1,1,0,0,0,0,0
2025,1093,정밀측정기사,30,기사,161,기계제작,N,97,97,0,0,0,0,0
2025,1100,금속기사1급,30,기사,171,금속.재료,N,669,669,0,0,0,0,0
2025,1104,금속재료기사,30,기사,171,금속.재료,N,5492,4572,268,129,154,197,172
2025,1110,화공기사,30,기사,181,화공,N,23840,20508,1691,623,438,235,345
2025,1114,신재생에너지발전설비기사(태양광),30,기사,262,에너지.기상,N,9838,5692,827,748,992,836,743
2025,1121,임베디드기사,30,기사,202,전자,N,219,127,10,1,29,28,24
2025,1130,화약류제조기사,30,기사,181,화공,N,573,476,16,23,13,28,17
2025,1140,화약류관리기사,30,기사,151,채광,N,3912,3511,73,75,88,81,84
2025,1150,전기기사,30,기사,201,전기,N,172751,117112,9923,12904,8775,10117,13920
2025,1160,전기공사기사,30,기사,201,전기,N,110727,86735,4511,6041,5315,3461,4664
2025,1170,전자기사,30,기사,202,전자,N,8780,8572,63,54,54,25,12
2025,1175,반도체설계기사,30,기사,202,전자,N,116,110,6,0,0,0,0
2025,1176,의공기사,30,기사,202,전자,N,2666,1788,317,186,196,102,77
2025,1177,로봇기구개발기사,30,기사,202,전자,N,32,1,1,3,11,7,9
2025,1178,로봇소프트웨어개발기사,30,기사,202,전자,N,42,1,6,5,13,5,12
2025,1179,로봇하드웨어개발기사,30,기사,202,전자,N,10,0,1,2,1,1,5
2025,1192,정보통신기사,30,기사,213,통신,N,13115,13115,0,0,0,0,0
2025,1194,방송통신기사,30,기사,212,방송.무선,N,196,196,0,0,0,0,0
2025,1200,무선설비기사,30,기사,212,방송.무선,N,30872,30872,0,0,0,0,0
2025,1220,조선기사,30,기사,164,조선,N,1519,1443,33,43,0,0,0
2025,1221,조선선체기사,30,기사,164,조선,N,70,0,0,0,23,21,26
2025,1222,조선의장기사,30,기사,164,조선,N,31,0,0,0,5,9,17
2025,1240,항공기사,30,기사,165,항공,N,705,693,1,3,1,2,5
2025,1250,토목기사,30,기사,142,토목,N,134631,119897,2948,2515,3365,2220,3686
2025,1282,실내건축기사,30,기사,141,건축,N,19579,13686,1226,1142,1138,1154,1233
2025,1290,섬유기사1급,30,기사,191,섬유,N,1197,1197,0,0,0,0,0
2025,1291,섬유기계기사,30,기사,191,섬유,N,65,65,0,0,0,0,0
2025,1292,염색가공기사,30,기사,191,섬유,N,112,112,0,0,0,0,0
2025,1293,방사기사,30,기사,191,섬유,N,37,37,0,0,0,0,0
2025,1297,섬유기사,30,기사,191,섬유,N,110,105,2,0,3,0,0
2025,1300,생사기사,30,기사,191,섬유,N,17,17,0,0,0,0,0
2025,1301,의류기사,30,기사,191,섬유,N,680,629,22,6,4,4,15
2025,1320,정보처리기사,30,기사,211,정보기술,N,707796,631920,16329,11119,12211,19886,16331
2025,1321,전자계산기기사,30,기사,202,전자,N,3467,3298,68,69,10,13,9
2025,1322,전자계산기조직응용기사,30,기사,211,정보기술,N,7415,6656,383,206,29,8,133
2025,1330,원자력기사,30,기사,262,에너지.기상,N,650,650,0,0,0,0,0
2025,1340,에너지관리기사,30,기사,262,에너지.기상,N,24716,17672,623,1126,2052,1486,1757
2025,1350,도시계획기사,30,기사,144,도시.교통,N,17248,13065,787,588,873,843,1092
2025,1351,항로표지기사,30,기사,142,토목,N,495,415,0,8,0,34,38
2025,1370,조경기사,30,기사,143,조경,N,22895,18863,730,865,652,1123,662
2025,1380,측량및지형공간정보기사,30,기사,142,토목,N,21667,18588,539,645,657,731,507
2025,1390,지적기사,30,기사,142,토목,N,16729,14341,525,608,487,404,364
2025,1391,인쇄설계기사,30,기사,231,인쇄.사진,N,966,883,16,15,20,30,2
2025,1400,해양기사1급,30,기사,142,토목,N,27,27,0,0,0,0,0
2025,1401,해양환경기사,30,기사,142,토목,N,2054,1165,145,121,193,211,219
2025,1402,해양자원개발기사,30,기사,142,토목,N,89,77,1,4,6,0,1
2025,1403,해양공학기사,30,기사,142,토목,N,139,134,4,0,1,0,0
2025,1431,산업안전기사,30,기사,251,안전관리,N,213309,96170,14889,15228,27478,29811,29733
2025,1431,산업안전기사,30,기사,251,안전관리,Y,6833,1876,428,459,1165,1386,1519
2025,1440,건설안전기사,30,기사,251,안전관리,N,111918,62504,5495,10220,12407,12174,9118
2025,1440,건설안전기사,30,기사,251,안전관리,Y,791,210,44,101,158,167,111
2025,1441,화재감식평가기사,30,기사,251,안전관리,N,12955,3785,1792,1988,2145,1801,1444
2025,1441,화재감식평가기사,30,기사,251,안전관리,Y,756,67,87,126,164,157,155
2025,1442,농작업안전보건기사,30,기사,251,안전관리,N,1224,423,109,29,315,76,272
2025,1442,농작업안전보건기사,30,기사,251,안전관리,Y,111,43,9,4,32,7,16
2025,1443,방재기사,30,기사,251,안전관리,N,1544,32,381,291,316,157,367
2025,1443,방재기사,30,기사,251,안전관리,Y,6,0,1,1,1,1,2
2025,1450,광산보안기사,30,기사,151,채광,N,2379,2379,0,0,0,0,0
2025,1460,지하수기사,30,기사,151,채광,N,67,67,0,0,0,0,0
2025,1471,가스기사,30,기사,251,안전관리,N,13598,11057,736,521,516,457,311
2025,1471,가스기사,30,기사,251,안전관리,Y,69,44,9,6,4,2,4
2025,1472,산업위생관리기사,30,기사,251,안전관리,N,19370,10834,1329,1600,1752,1890,1965
2025,1472,산업위생관리기사,30,기사,251,안전관리,Y,10787,3607,638,1030,1522,2037,1953
2025,1500,품질경영기사,30,기사,24,생산관리,N,38609,33818,1157,743,1020,953,918
2025,1511,포장기사,30,기사,24,생산관리,N,198,113,3,5,40,13,24
2025,1512,제품디자인기사,30,기사,82,디자인,N,247,220,12,3,7,1,4
2025,1513,광학기사,30,기사,202,전자,N,581,493,51,16,5,10,6
2025,1520,세라믹기사,30,기사,171,금속.재료,N,616,616,0,0,0,0,0
2025,1530,식품안전기사,30,기사,221,식품,N,30000,22488,1264,1920,1469,1255,1604
2025,1540,수산제조기사,30,기사,221,식품,N,1438,1406,12,2,12,1,5
2025,1541,식육가공기사,30,기사,221,식품,N,211,88,37,22,24,26,14
2025,1550,응용지질기사,30,기사,142,토목,N,4771,4146,111,69,132,144,169
2025,1555,승강기기사,30,기사,162,기계장비설비.설치,N,4810,3505,339,314,259,172,221
2025,1560,종자기사,30,기사,241,농업,N,11812,7461,642,967,987,927,828
2025,1562,식물보호기사,30,기사,243,임업,N,22525,13795,2027,1691,1210,1913,1889
2025,1563,화학분석기사,30,기사,181,화공,N,11549,8380,781,716,456,677,539
2025,1564,산림기사,30,기사,243,임업,N,25888,16185,1626,1453,2525,2462,1637
2025,1570,임업종묘기사,30,기사,243,임업,N,579,400,39,28,57,26,29
2025,1575,광해방지기사,30,기사,152,광해방지,N,125,125,0,0,0,0,0
2025,1576,화훼장식기사,30,기사,241,농업,N,2695,1938,107,166,150,174,160
2025,1581,축산기사,30,기사,242,축산,N,10174,6908,658,682,703,601,622
2025,1590,임산가공기사,30,기사,243,임업,N,962,774,53,49,59,15,12
2025,1592,유기농업기사,30,기사,241,농업,N,5991,3791,447,350,374,444,585
2025,1600,기상기사,30,기사,262,에너지.기상,N,4694,3915,198,79,174,137,191
2025,1601,기상감정기사,30,기사,262,에너지.기상,N,159,89,20,16,8,11,15
2025,1611,방사선비파괴검사기사,30,기사,252,비파괴검사,N,3595,3200,83,93,65,78,76
2025,1612,초음파비파괴검사기사,30,기사,252,비파괴검사,N,2357,2123,51,33,44,37,69
2025,1613,자기비파괴검사기사,30,기사,252,비파괴검사,N,4589,3870,120,131,160,178,130
2025,1614,침투비파괴검사기사,30,기사,252,비파괴검사,N,7887,6236,307,351,398,322,273
2025,1615,와전류비파괴검사기사,30,기사,252,비파괴검사,N,1194,916,62,38,52,55,71
2025,1616,비파괴검사기사1급(전자기침투),30,기사,252,비파괴검사,N,4,4,0,0,0,0,0
2025,1617,누설비파괴검사기사,30,기사,252,비파괴검사,N,1323,1081,60,51,42,48,41
2025,1621,수산양식기사,30,기사,244,어업,N,243,243,0,0,0,0,0
2025,1622,수산양식기사,30,기사,244,어업,N,93,93,0,0,0,0,0
2025,1623,수산양식기사,30,기사,244,어업,N,20,20,0,0,0,0,0
2025,1624,수산양식기사,30,기사,244,어업,N,62,62,0,0,0,0,0
2025,1625,수산양식기사,30,기사,244,어업,N,3131,2379,160,133,113,229,117
2025,1630,건축기사,30,기사,141,건축,N,171206,146866,5447,4099,4556,5280,4958
2025,1632,건축설비기사,30,기사,141,건축,N,21201,9851,1158,1368,3116,2406,3302
2025,1633,어업생산관리기사,30,기사,244,어업,N,416,388,1,9,2,4,12
2025,1640,공업계측제어기사,30,기사,202,전자,N,145,145,0,0,0,0,0
2025,1650,농화학기사,30,기사,241,농업,N,68,68,0,0,0,0,0
2025,1661,대기환경기사,30,기사,261,환경,N,47511,35330,2953,2217,1668,3247,2096
2025,1662,수질환경기사,30,기사,261,환경,N,61097,50654,2981,2249,1224,2073,1916
2025,1663,소음진동기사,30,기사,261,환경,N,4678,4139,118,113,118,76,114
2025,1670,"대기환경,수질환경,소음진동기사",30,기사,261,환경,N,853,853,0,0,0,0,0
