code,dim,source_qid,question_kr,option_idx,option_kr,option_score,question_weight,option_pct_iso,option_pct_non,option_cohen_h
Q1,physical_isolation,A7,평소 외출 빈도는 어떻게 되시나요?,1,직장이나 학교로 평일은 매일 외출한다,0,0.6821,25.1,58.01,-0.6821
Q1,physical_isolation,A7,평소 외출 빈도는 어떻게 되시나요?,2,직장이나 학교로 일주일에 3~4일 외출한다,1,0.6821,5.35,10.26,-0.1854
Q1,physical_isolation,A7,평소 외출 빈도는 어떻게 되시나요?,3,여가생활을 위해 자주 외출한다,1,0.6821,5.35,9.45,-0.1581
Q1,physical_isolation,A7,평소 외출 빈도는 어떻게 되시나요?,4,사람을 만나기 위해 가끔 외출한다,2,0.6821,8.64,11.86,-0.1063
Q1,physical_isolation,A7,평소 외출 빈도는 어떻게 되시나요?,5,"보통은 집에 있지만, 자신의 취미생활만을 위해 외출한다",3,0.6821,17.28,4.46,0.4321
Q1,physical_isolation,A7,평소 외출 빈도는 어떻게 되시나요?,6,"보통은 집에 있지만, 인근 편의점 등에 외출한다",4,0.6821,24.28,4.22,0.6168
Q1,physical_isolation,A7,평소 외출 빈도는 어떻게 되시나요?,7,"자기 방에서 나오지만, 집 밖으로는 나가지 않는다",5,0.6821,7.0,1.07,0.3277
Q1,physical_isolation,A7,평소 외출 빈도는 어떻게 되시나요?,8,자기 방에서 거의 나오지 않는다,6,0.6821,7.0,0.68,0.3707
Q2,social_contact_quantity,A11,지난 2주 동안 가족 외에 다른 사람과 직접 만나거나 연락한 횟수는?,1,0회,5,0.8302,26.83,1.66,0.8302
Q2,social_contact_quantity,A11,지난 2주 동안 가족 외에 다른 사람과 직접 만나거나 연락한 횟수는?,2,1회,4,0.8302,22.49,8.51,0.3964
Q2,social_contact_quantity,A11,지난 2주 동안 가족 외에 다른 사람과 직접 만나거나 연락한 횟수는?,3,2회,3,0.8302,15.18,15.15,0.0009
Q2,social_contact_quantity,A11,지난 2주 동안 가족 외에 다른 사람과 직접 만나거나 연락한 횟수는?,4,3회,3,0.8302,10.57,13.44,-0.0885
Q2,social_contact_quantity,A11,지난 2주 동안 가족 외에 다른 사람과 직접 만나거나 연락한 횟수는?,5,4~5회,2,0.8302,8.4,24.21,-0.4408
Q2,social_contact_quantity,A11,지난 2주 동안 가족 외에 다른 사람과 직접 만나거나 연락한 횟수는?,6,6~10회,1,0.8302,9.49,23.11,-0.3768
Q2,social_contact_quantity,A11,지난 2주 동안 가족 외에 다른 사람과 직접 만나거나 연락한 횟수는?,7,11회 이상,0,0.8302,7.05,13.92,-0.2274
Q3,physical_isolation,A13_3,친한 친구나 친한 사람과 직접 만나는 빈도는?,1,전혀없다,5,1.0263,33.74,1.13,1.0263
Q3,physical_isolation,A13_3,친한 친구나 친한 사람과 직접 만나는 빈도는?,2,1년에한두 번,4,1.0263,34.77,5.49,0.7883
Q3,physical_isolation,A13_3,친한 친구나 친한 사람과 직접 만나는 빈도는?,3,3개월에한두 번,3,1.0263,14.4,19.87,-0.1456
Q3,physical_isolation,A13_3,친한 친구나 친한 사람과 직접 만나는 빈도는?,4,한 달에한두 번,2,1.0263,10.29,35.87,-0.6312
Q3,physical_isolation,A13_3,친한 친구나 친한 사람과 직접 만나는 빈도는?,5,일주일에한두 번,1,1.0263,4.94,29.38,-0.6976
Q3,physical_isolation,A13_3,친한 친구나 친한 사람과 직접 만나는 빈도는?,6,거의 매일 (일주일에서너 번이상),0,1.0263,1.85,8.26,-0.3098
Q4,physical_isolation,A13_4,직장·학교·동네에서 알고 지내는 사람들과 직접 만나는 빈도는?,1,전혀없다,5,1.2504,62.55,8.02,1.2504
Q4,physical_isolation,A13_4,직장·학교·동네에서 알고 지내는 사람들과 직접 만나는 빈도는?,2,1년에한두 번,4,1.2504,19.14,8.79,0.3034
Q4,physical_isolation,A13_4,직장·학교·동네에서 알고 지내는 사람들과 직접 만나는 빈도는?,3,3개월에한두 번,3,1.2504,6.38,16.47,-0.3252
Q4,physical_isolation,A13_4,직장·학교·동네에서 알고 지내는 사람들과 직접 만나는 빈도는?,4,한 달에한두 번,2,1.2504,4.73,23.47,-0.573
Q4,physical_isolation,A13_4,직장·학교·동네에서 알고 지내는 사람들과 직접 만나는 빈도는?,5,일주일에한두 번,1,1.2504,3.5,25.16,-0.6747
Q4,physical_isolation,A13_4,직장·학교·동네에서 알고 지내는 사람들과 직접 만나는 빈도는?,6,거의 매일 (일주일에서너 번이상),0,1.2504,3.7,18.08,-0.4911
Q5,emotional_support,A12_1_1 TO A12_1_4,중요하거나 어려운 일이 있을 때 조언을 구할 수 있는 사람이 있다면 누구인가요? (가장 가까운 한 명 기준),1,가족/친척,1,1.168,52.47,77.16,-0.5249
Q5,emotional_support,A12_1_1 TO A12_1_4,중요하거나 어려운 일이 있을 때 조언을 구할 수 있는 사람이 있다면 누구인가요? (가장 가까운 한 명 기준),2,친구,0,1.168,19.96,75.0,-1.168
Q5,emotional_support,A12_1_1 TO A12_1_4,중요하거나 어려운 일이 있을 때 조언을 구할 수 있는 사람이 있다면 누구인가요? (가장 가까운 한 명 기준),3,"그 외 타인 (이웃, 직장동료 등)",1,1.168,8.44,27.43,-0.5131
Q5,emotional_support,A12_1_1 TO A12_1_4,중요하거나 어려운 일이 있을 때 조언을 구할 수 있는 사람이 있다면 누구인가요? (가장 가까운 한 명 기준),4,없음,5,1.168,36.83,3.24,0.9422
Q6,emotional_support,A12_4_1 TO A12_4_4,낙심하거나 우울할 때 속마음을 털어놓을 수 있는 사람이 있다면 누구인가요? (가장 가까운 한 명 기준),1,가족/친척,1,1.0662,29.63,57.05,-0.5611
Q6,emotional_support,A12_4_1 TO A12_4_4,낙심하거나 우울할 때 속마음을 털어놓을 수 있는 사람이 있다면 누구인가요? (가장 가까운 한 명 기준),2,친구,0,1.0662,16.46,65.41,-1.0485
Q6,emotional_support,A12_4_1 TO A12_4_4,낙심하거나 우울할 때 속마음을 털어놓을 수 있는 사람이 있다면 누구인가요? (가장 가까운 한 명 기준),3,"그 외 타인 (이웃, 직장동료 등)",1,1.0662,7.0,16.95,-0.3132
Q6,emotional_support,A12_4_1 TO A12_4_4,낙심하거나 우울할 때 속마음을 털어놓을 수 있는 사람이 있다면 누구인가요? (가장 가까운 한 명 기준),4,없음,5,1.0662,55.97,9.43,1.0662
Q7,loneliness,A18_2,나는 도움을 청할 사람이 아무도 없다고 느낀다.,1,전혀그렇지않다,0,0.7545,10.7,27.71,-0.4423
Q7,loneliness,A18_2,나는 도움을 청할 사람이 아무도 없다고 느낀다.,2,별로그렇지않다,1,0.7545,21.4,40.38,-0.4154
Q7,loneliness,A18_2,나는 도움을 청할 사람이 아무도 없다고 느낀다.,3,가끔그런편이다,3,0.7545,37.86,27.85,0.2137
Q7,loneliness,A18_2,나는 도움을 청할 사람이 아무도 없다고 느낀다.,4,항상그렇다,5,0.7545,30.04,4.06,0.7545
Q8,depression,B12_1,"(지난 2주간) 기분이 가라앉거나, 우울하거나, 희망이 없다고 느꼈다.",1,없음,0,0.6975,22.22,54.17,-0.6725
Q8,depression,B12_1,"(지난 2주간) 기분이 가라앉거나, 우울하거나, 희망이 없다고 느꼈다.",2,"2, 3일 이상",2,0.6975,34.77,32.8,0.0417
Q8,depression,B12_1,"(지난 2주간) 기분이 가라앉거나, 우울하거나, 희망이 없다고 느꼈다.",3,7일 이상,4,0.6975,17.08,9.63,0.2211
Q8,depression,B12_1,"(지난 2주간) 기분이 가라앉거나, 우울하거나, 희망이 없다고 느꼈다.",4,거의 매일,5,0.6975,25.93,3.4,0.6975
Q9,depression_safety,B12_9,(지난 2주간) 차라리 죽는 것이 더 낫겠다 / 자해할 생각이 들었다.,1,없음,0,0.8852,43.42,72.11,-0.5901
Q9,depression_safety,B12_9,(지난 2주간) 차라리 죽는 것이 더 낫겠다 / 자해할 생각이 들었다.,2,"2, 3일 이상",3,0.8852,25.51,16.03,0.2351
Q9,depression_safety,B12_9,(지난 2주간) 차라리 죽는 것이 더 낫겠다 / 자해할 생각이 들었다.,3,7일 이상,5,0.8852,12.76,8.75,0.1298
Q9,depression_safety,B12_9,(지난 2주간) 차라리 죽는 것이 더 낫겠다 / 자해할 생각이 들었다.,4,거의 매일,6,0.8852,18.31,3.1,0.5302
Q10,self_care,B9_4,내 방의 어질러진 물건들을 정리정돈하는 빈도는?,1,한 달에한 번,5,0.4708,18.31,4.22,0.4708
Q10,self_care,B9_4,내 방의 어질러진 물건들을 정리정돈하는 빈도는?,2,2~3주에한 번,3,0.4708,11.93,6.37,0.1953
Q10,self_care,B9_4,내 방의 어질러진 물건들을 정리정돈하는 빈도는?,3,일주일에한 번,2,0.4708,20.78,22.48,-0.0412
Q10,self_care,B9_4,내 방의 어질러진 물건들을 정리정돈하는 빈도는?,4,2~3일에한 번,1,0.4708,23.05,31.51,-0.1906
Q10,self_care,B9_4,내 방의 어질러진 물건들을 정리정돈하는 빈도는?,5,매일,0,0.4708,25.93,35.43,-0.2066
Q11,family_connection,B1_2,나는 평소 가족과 대화를 자주 하는 편이다.,1,전혀그렇지않다,4,0.5741,17.7,2.15,0.5741
Q11,family_connection,B1_2,나는 평소 가족과 대화를 자주 하는 편이다.,2,그렇지않다,3,0.5741,22.84,10.22,0.3456
Q11,family_connection,B1_2,나는 평소 가족과 대화를 자주 하는 편이다.,3,보통이다,2,0.5741,32.1,32.13,-0.0006
Q11,family_connection,B1_2,나는 평소 가족과 대화를 자주 하는 편이다.,4,그렇다,1,0.5741,19.75,38.89,-0.4256
Q11,family_connection,B1_2,나는 평소 가족과 대화를 자주 하는 편이다.,5,매우그렇다,0,0.5741,7.61,16.61,-0.2805
Q12,employment_context,A1,지난 한 주 동안 일을 하셨나요?,1,일을 하였다.,0,0.9372,41.98,84.7,-0.9283
Q12,employment_context,A1,지난 한 주 동안 일을 하셨나요?,2,휴가 및 일시 휴직 중이다.,2,0.9372,7.82,5.47,0.0947
Q12,employment_context,A1,지난 한 주 동안 일을 하셨나요?,3,일을 하지 않았다.,4,0.9372,50.21,9.83,0.9372
